   0.00000   90.00000 1422.01369 172
   1.00000   90.00000 1418.59456 172
   2.00000   90.00000 1415.54814 172
   3.00000   90.00000 1413.66842 172
   4.00000   90.00000 1413.34434 172
   5.00000   90.00000 1414.52726 172
   6.00000   90.00000 1416.74726 172
   7.00000   90.00000 1419.40478 172
   8.00000   90.00000 1421.91647 172
   9.00000   90.00000 1423.86100 172
  10.00000   90.00000 1425.14115 172
  11.00000   90.00000 1425.88655 172
  12.00000   90.00000 1426.38889 172
  13.00000   90.00000 1426.72918 172
  14.00000   90.00000 1426.81020 172
  15.00000   90.00000 1426.82640 172
  16.00000   90.00000 1426.89122 172
  17.00000   90.00000 1427.11808 172
  18.00000   90.00000 1427.29633 172
  19.00000   90.00000 1427.39356 172
  20.00000   90.00000 1427.36115 172
  21.00000   90.00000 1427.16670 172
  22.00000   90.00000 1427.13429 172
  23.00000   90.00000 1427.91210 172
  24.00000   90.00000 1428.86816 172
  25.00000   90.00000 1429.56495 172
  26.00000   90.00000 1429.95386 172
  27.00000   90.00000 1430.16451 172
  28.00000   90.00000 1430.19692 172
  29.00000   90.00000 1430.06729 172
  30.00000   90.00000 1429.79181 172
  31.00000   90.00000 1429.53254 172
  32.00000   90.00000 1429.07882 172
  33.00000   90.00000 1428.30101 172
  34.00000   90.00000 1427.65283 172
  35.00000   90.00000 1428.99780 172
  36.00000   90.00000 1430.29415 172
  37.00000   90.00000 1430.97473 172
  38.00000   90.00000 1431.21780 172
  39.00000   90.00000 1431.52568 172
  40.00000   90.00000 1432.62758 172
  41.00000   90.00000 1434.19941 172
  42.00000   90.00000 1435.91708 172
  43.00000   90.00000 1437.45650 172
  44.00000   90.00000 1438.65562 172
  45.00000   90.00000 1439.43344 172
  46.00000   90.00000 1439.74132 172
  47.00000   90.00000 1439.51446 172
  48.00000   90.00000 1438.73665 172
  49.00000   90.00000 1437.55372 172
  50.00000   90.00000 1436.30598 172
  51.00000   90.00000 1435.22029 172
  52.00000   90.00000 1434.68554 172
  53.00000   90.00000 1434.03737 172
  54.00000   90.00000 1433.47021 172
  55.00000   90.00000 1435.44715 172
  56.00000   90.00000 1437.26204 172
  57.00000   90.00000 1438.38015 172
  58.00000   90.00000 1439.20657 172
  59.00000   90.00000 1440.43811 172
  60.00000   90.00000 1441.18351 172
  61.00000   90.00000 1440.72979 172
  62.00000   90.00000 1438.73665 172
  63.00000   90.00000 1435.51197 172
  64.00000   90.00000 1432.59517 172
  65.00000   90.00000 1435.98190 172
  66.00000   90.00000 1439.64409 172
  67.00000   90.00000 1441.99373 172
  68.00000   90.00000 1442.75534 172
  69.00000   90.00000 1442.41505 172
  70.00000   90.00000 1442.15578 172
  71.00000   90.00000 1443.48454 172
  72.00000   90.00000 1444.61885 172
  73.00000   90.00000 1444.61885 172
  74.00000   90.00000 1443.48454 172
  75.00000   90.00000 1441.70205 172
  76.00000   90.00000 1438.88249 172
  77.00000   90.00000 1436.01431 172
  78.00000   90.00000 1438.23431 172
  79.00000   90.00000 1440.13023 172
  80.00000   90.00000 1440.69738 172
  81.00000   90.00000 1440.69738 172
  82.00000   90.00000 1441.94512 172
  83.00000   90.00000 1443.95447 172
  84.00000   90.00000 1446.75783 172
  85.00000   90.00000 1449.93389 172
  86.00000   90.00000 1453.38543 172
  87.00000   90.00000 1456.54529 172
  88.00000   90.00000 1459.04077 172
  89.00000   90.00000 1460.82326 172
  90.00000   90.00000 1461.90895 172
  91.00000   90.00000 1462.26545 172
  92.00000   90.00000 1461.76311 172
  93.00000   90.00000 1460.20749 172
  94.00000   90.00000 1457.58237 172
  95.00000   90.00000 1454.21186 172
  96.00000   90.00000 1450.74411 172
  97.00000   90.00000 1447.90834 172
  98.00000   90.00000 1445.99622 172
  99.00000   90.00000 1444.55403 172
 100.00000   90.00000 1443.98687 172
 101.00000   90.00000 1445.44527 172
 102.00000   90.00000 1446.57958 172
 103.00000   90.00000 1445.85038 172
 104.00000   90.00000 1443.11184 172
 105.00000   90.00000 1440.09782 172
 106.00000   90.00000 1443.01461 172
 107.00000   90.00000 1446.51476 172
 108.00000   90.00000 1448.92922 172
 109.00000   90.00000 1449.67462 172
 110.00000   90.00000 1449.02645 172
 111.00000   90.00000 1448.24863 172
 112.00000   90.00000 1449.56119 172
 113.00000   90.00000 1451.21404 172
 114.00000   90.00000 1451.76499 172
 115.00000   90.00000 1450.45243 172
 116.00000   90.00000 1447.13053 172
 117.00000   90.00000 1442.49607 172
 118.00000   90.00000 1438.73665 172
 119.00000   90.00000 1441.45899 172
 120.00000   90.00000 1444.84571 172
 121.00000   90.00000 1447.03330 172
 122.00000   90.00000 1448.21623 172
 123.00000   90.00000 1449.35053 172
 124.00000   90.00000 1449.60981 172
 125.00000   90.00000 1448.47550 172
 126.00000   90.00000 1446.09345 172
 127.00000   90.00000 1443.50074 172
 128.00000   90.00000 1444.27855 172
 129.00000   90.00000 1445.47768 172
 130.00000   90.00000 1446.95228 172
 131.00000   90.00000 1449.65842 172
 132.00000   90.00000 1452.83448 172
 133.00000   90.00000 1455.71887 172
 134.00000   90.00000 1457.76062 172
 135.00000   90.00000 1458.63566 172
 136.00000   90.00000 1458.26296 172
 137.00000   90.00000 1456.70734 172
 138.00000   90.00000 1454.21186 172
 139.00000   90.00000 1451.24645 172
 140.00000   90.00000 1448.49170 172
