# radius [m] density [kg/m^3] vpv [m/s] vsv [m/s] Q kappa Q miu vph [m/s] vsh [m/s] eta [m/s] REF
1 1. 1 1
  750  180  358  717  739
      0. 13088.48 11262.20  3667.80   1327.6    104.0 11262.20  3667.80  1.00000
   6824. 13088.47 11262.20  3667.79   1327.6    104.0 11262.20  3667.79  1.00000
  13648. 13088.44 11262.18  3667.78   1327.6    104.0 11262.18  3667.78  1.00000
  20472. 13088.39 11262.14  3667.75   1327.6    104.0 11262.14  3667.75  1.00000
  27296. 13088.32 11262.09  3667.72   1327.6    104.0 11262.09  3667.72  1.00000
  34120. 13088.22 11262.02  3667.67   1327.6    104.0 11262.02  3667.67  1.00000
  40944. 13088.11 11261.94  3667.62   1327.6    104.0 11261.94  3667.62  1.00000
  47768. 13087.98 11261.85  3667.55   1327.6    104.0 11261.85  3667.55  1.00000
  54592. 13087.83 11261.74  3667.47   1327.6    104.0 11261.74  3667.47  1.00000
  61416. 13087.66 11261.61  3667.39   1327.6    104.0 11261.61  3667.39  1.00000
  68240. 13087.46 11261.47  3667.29   1327.6    104.0 11261.47  3667.29  1.00000
  75064. 13087.25 11261.32  3667.18   1327.6    104.0 11261.32  3667.18  1.00000
  81888. 13087.02 11261.15  3667.06   1327.6    104.0 11261.15  3667.06  1.00000
  88712. 13086.76 11260.97  3666.94   1327.6    104.0 11260.97  3666.94  1.00000
  95536. 13086.49 11260.77  3666.80   1327.6    104.0 11260.77  3666.80  1.00000
 102360. 13086.20 11260.56  3666.65   1327.6    104.0 11260.56  3666.65  1.00000
 109184. 13085.88 11260.34  3666.49   1327.6    104.0 11260.34  3666.49  1.00000
 116007. 13085.55 11260.09  3666.32   1327.6    104.0 11260.09  3666.32  1.00000
 122831. 13085.19 11259.84  3666.15   1327.6    104.0 11259.84  3666.15  1.00000
 129655. 13084.82 11259.57  3665.96   1327.6    104.0 11259.57  3665.96  1.00000
 136479. 13084.42 11259.28  3665.76   1327.6    104.0 11259.28  3665.76  1.00000
 143303. 13084.01 11258.99  3665.55   1327.6    104.0 11258.99  3665.55  1.00000
 150127. 13083.57 11258.67  3665.33   1327.6    104.0 11258.67  3665.33  1.00000
 156951. 13083.11 11258.34  3665.10   1327.6    104.0 11258.34  3665.10  1.00000
 163775. 13082.64 11258.00  3664.86   1327.6    104.0 11258.00  3664.86  1.00000
 170599. 13082.14 11257.64  3664.61   1327.6    104.0 11257.64  3664.61  1.00000
 177423. 13081.62 11257.27  3664.35   1327.6    104.0 11257.27  3664.35  1.00000
 184247. 13081.09 11256.88  3664.08   1327.6    104.0 11256.88  3664.08  1.00000
 191071. 13080.53 11256.48  3663.80   1327.6    104.0 11256.48  3663.80  1.00000
 197895. 13079.95 11256.06  3663.51   1327.6    104.0 11256.06  3663.51  1.00000
 204719. 13079.35 11255.63  3663.21   1327.6    104.0 11255.63  3663.21  1.00000
 211543. 13078.73 11255.19  3662.90   1327.6    104.0 11255.19  3662.90  1.00000
 218367. 13078.09 11254.73  3662.57   1327.6    104.0 11254.73  3662.57  1.00000
 225191. 13077.44 11254.25  3662.24   1327.6    104.0 11254.25  3662.24  1.00000
 232015. 13076.76 11253.76  3661.90   1327.6    104.0 11253.76  3661.90  1.00000
 238839. 13076.06 11253.26  3661.55   1327.6    104.0 11253.26  3661.55  1.00000
 245663. 13075.34 11252.74  3661.19   1327.6    104.0 11252.74  3661.19  1.00000
 252487. 13074.60 11252.21  3660.81   1327.6    104.0 11252.21  3660.81  1.00000
