# Header for the PREM reference profile representing an averaged Earth
# model from Dziewonski and Anderson (1981).
# Only next line is parsed in format: [nx] because of keyword "POINTS:"
# POINTS: 97
radius density vp vs vphi Qkappa Qmu eta shearmod bulkmod
0.00000000 13088.48000000 11218.18000000 3594.69000000 10422.02000178 1328.00000000 85.00000000 1.00000000 1.69126671e+11 1.42165108e+12
100000.00000000 13086.30000000 11216.62000000 3593.62000000 10420.83288187 1328.00000000 85.00000000 1.00000000 1.68997848e+11 1.42109049e+12
200000.00000000 13079.77000000 11211.97000000 3590.40000000 10417.30811683 1328.00000000 85.00000000 1.00000000 1.68610951e+11 1.41942067e+12
300000.00000000 13068.88000000 11204.21000000 3585.03000000 10411.42328997 1328.00000000 85.00000000 1.00000000 1.67966997e+11 1.41663699e+12
400000.00000000 13053.64000000 11193.34000000 3577.51000000 10403.17691647 1328.00000000 85.00000000 1.00000000 1.67068027e+11 1.41274442e+12
500000.00000000 13034.04000000 11179.37000000 3567.85000000 10392.57309012 1328.00000000 85.00000000 1.00000000 1.65917511e+11 1.40774899e+12
600000.00000000 13010.09000000 11162.29000000 3556.03000000 10379.60751809 1328.00000000 85.00000000 1.00000000 1.64517133e+11 1.40165834e+12
700000.00000000 12981.78000000 11142.25400023 3542.07000000 10364.43330301 1328.00000000 85.00000000 1.00000000 1.62872786e+11 1.39452199e+12
800000.00000000 12949.12000000 11118.83000000 3525.97000000 10346.58210784 1328.00000000 85.00000000 1.00000000 1.60989474e+11 1.38622610e+12
900000.00000000 12912.11000000 11092.44000000 3507.71000000 10326.51211985 1328.00000000 85.00000000 1.00000000 1.58870982e+11 1.37690677e+12
1000000.00000000 12870.73000000 11062.94000000 3487.31000000 10304.05422130 1328.00000000 85.00000000 1.00000000 1.56525208e+11 1.36653088e+12
1100000.00000000 12825.01000000 11030.34000000 3464.75000000 10279.22226787 1328.00000000 85.00000000 1.00000000 1.53957737e+11 1.35512147e+12
1200000.00000000 12774.93000000 10994.63000000 3440.05000000 10251.98989629 1328.00000000 85.00000000 1.00000000 1.51177806e+11 1.34268726e+12
1221500.00000000 12763.60000000 10986.56000000 3434.47000000 10245.83110631 1328.00000000 85.00000000 1.00000000 1.50554118e+11 1.33988514e+12
1221500.00000001 12166.34000000 10355.38000000 0.00000000 10355.38000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.30464403e+12
1300000.00000000 12125.00000000 10309.41000000 0.00000000 10309.41000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.28869271e+12
1400000.00000000 12069.24000000 10249.30000000 0.00000000 10249.30000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.26785134e+12
1500000.00000000 12009.89000000 10187.13000000 0.00000000 10187.13000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.24635777e+12
1600000.00000000 11946.82000000 10122.62000000 0.00000000 10122.62000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.22416001e+12
1700000.00000000 11879.90000000 10055.43000000 0.00000000 10055.43000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.20119656e+12
1800000.00000000 11809.00000000 9985.25000000 0.00000000 9985.25000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.17741891e+12
1900000.00000000 11734.01000000 9911.77000000 0.00000000 9911.77000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.15278651e+12
2000000.00000000 11654.78000000 9834.67000000 0.00000000 9834.67000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.12725888e+12
2100000.00000000 11571.19000000 9753.64000000 0.00000000 9753.64000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.10080773e+12
2200000.00000000 11483.11000000 9668.37000000 0.00000000 9668.37000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.07341102e+12
2300000.00000000 11390.42000000 9578.53000000 0.00000000 9578.53000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.04505095e+12
2400000.00000000 11292.98000000 9483.81000000 0.00000000 9483.81000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 1.01572057e+12
2500000.00000000 11190.67000000 9383.90000000 0.00000000 9383.90000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 9.85423310e+11
2600000.00000000 11083.35000000 9278.49000000 0.00000000 9278.49000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 9.54169776e+11
2700000.00000000 10970.91000000 9167.26000000 0.00000000 9167.26000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 9.21980530e+11
2800000.00000000 10853.21000000 9049.88000000 0.00000000 9049.88000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 8.88881459e+11
2900000.00000000 10730.12000000 8926.06000000 0.00000000 8926.06000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 8.54917452e+11
3000000.00000000 10601.52000000 8795.47000000 0.00000000 8795.47000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 8.20136688e+11
3100000.00000000 10467.27000000 8657.80000000 0.00000000 8657.80000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 7.84600400e+11
3200000.00000000 10327.26000000 8512.73000000 0.00000000 8512.73000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 7.48381131e+11
3300000.00000000 10181.34000000 8359.95000000 0.00000000 8359.95000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 7.11561268e+11
3400000.00000000 10029.40000000 8199.15000000 0.00000000 8199.15000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 6.74237053e+11
3480000.00000000 9903.49000000 8064.58000000 0.00000000 8064.58000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 6.44097741e+11
3480000.00000001 5566.45000000 13688.62000000 7225.38000000 10852.19621299 57822.00000000 312.00000000 1.00000000 2.90602735e+11 6.55561722e+11
3500000.00000000 5556.41000000 13683.69000000 7225.59000000 10845.79046844 57822.00000000 312.00000000 1.00000000 2.90095448e+11 6.53607014e+11
3600000.00000000 5506.42000000 13659.49000000 7226.47000000 10814.45832419 57822.00000000 312.00000000 1.00000000 2.87555542e+11 6.43989634e+11
3630000.00000000 5491.45000000 13652.34000000 7226.70000000 10805.22081938 57822.00000000 312.00000000 1.00000000 2.86792035e+11 6.41142147e+11
